disease,year,label_ha,label_hsda,BC_F,BC_M,BC_T,HA_F,HA_M,HA_T,HSDA_F,HSDA_M,HSDA_T
Flower Deafness,2012,Interior,Okanagan,181,248,429,42,46,88,6,5,13
Flower Deafness,2012,Interior,Thompson Cariboo Shuswap,181,248,429,42,46,88,23,7,21
Flower Deafness,2012,Fraser,Fraser East,181,248,429,33,45,78,10,12,19
Flower Deafness,2012,Fraser,Fraser North,181,248,429,33,45,78,8,21,20
Flower Deafness,2012,Fraser,Fraser South,181,248,429,33,45,78,15,12,4
Flower Deafness,2012,Vancouver Coastal,Richmond,181,248,429,26,33,59,10,11,11
Flower Deafness,2012,Vancouver Coastal,Vancouver,181,248,429,26,33,59,9,12,25
Flower Deafness,2012,Vancouver Coastal,North Shore/Coast Garibaldi,181,248,429,26,33,59,7,10,19
Flower Deafness,2012,Vancouver Island,South Vancouver Island,181,248,429,33,57,90,15,17,5
Flower Deafness,2012,Vancouver Island,Central Vancouver Island,181,248,429,33,57,90,9,23,16
Flower Deafness,2012,Vancouver Island,North Vancouver Island,181,248,429,33,57,90,9,17,19
Flower Deafness,2012,Northern,Northwest,181,248,429,47,67,114,11,25,10
Flower Deafness,2012,Northern,Northern Interior,181,248,429,47,67,114,12,25,6
Flower Deafness,2012,Northern,Northeast,181,248,429,47,67,114,24,17,24
Flower Deafness,2013,Interior,East Kootenay,129,163,292,39,51,90,4,16,3
Flower Deafness,2013,Interior,Kootenay Boundary,129,163,292,39,51,90,12,13,11
Flower Deafness,2013,Interior,Okanagan,129,163,292,39,51,90,15,6,12
Flower Deafness,2013,Interior,Thompson Cariboo Shuswap,129,163,292,39,51,90,8,16,11
Flower Deafness,2013,Fraser,Fraser East,129,163,292,25,27,52,11,15,5
Flower Deafness,2013,Fraser,Fraser North,129,163,292,25,27,52,11,9,8
Flower Deafness,2013,Fraser,Fraser South,129,163,292,25,27,52,3,3,10
Flower Deafness,2013,Vancouver Coastal,Richmond,129,163,292,16,28,44,8,12,5
Flower Deafness,2013,Vancouver Coastal,Vancouver,129,163,292,16,28,44,2,3,11
Flower Deafness,2013,Vancouver Coastal,North Shore/Coast Garibaldi,129,163,292,16,28,44,6,13,5
Flower Deafness,2013,Vancouver Island,South Vancouver Island,129,163,292,12,29,41,4,14,9
Flower Deafness,2013,Vancouver Island,Central Vancouver Island,129,163,292,12,29,41,3,9,6
Flower Deafness,2013,Vancouver Island,North Vancouver Island,129,163,292,12,29,41,5,6,3
Flower Deafness,2013,Northern,Northwest,129,163,292,37,28,65,13,14,6
Flower Deafness,2013,Northern,Northern Interior,129,163,292,37,28,65,9,10,6
Flower Deafness,2013,Northern,Northeast,129,163,292,37,28,65,15,4,13
Flower Deafness,2014,Interior,East Kootenay,194,224,418,50,58,108,18,9,16
Flower Deafness,2014,Interior,Kootenay Boundary,194,224,418,50,58,108,4,16,19
Flower Deafness,2014,Interior,Okanagan,194,224,418,50,58,108,11,23,23
Flower Deafness,2014,Interior,Thompson Cariboo Shuswap,194,224,418,50,58,108,17,10,20
Flower Deafness,2014,Fraser,Fraser East,194,224,418,51,51,102,21,18,3
Flower Deafness,2014,Fraser,Fraser North,194,224,418,51,51,102,21,14,20
Flower Deafness,2014,Fraser,Fraser South,194,224,418,51,51,102,9,19,23
Flower Deafness,2014,Vancouver Coastal,Richmond,194,224,418,16,33,49,7,6,19
Flower Deafness,2014,Vancouver Coastal,Vancouver,194,224,418,16,33,49,6,19,5
Flower Deafness,2014,Vancouver Coastal,North Shore/Coast Garibaldi,194,224,418,16,33,49,3,8,11
Flower Deafness,2014,Vancouver Island,South Vancouver Island,194,224,418,48,54,102,7,18,11
Flower Deafness,2014,Vancouver Island,Central Vancouver Island,194,224,418,48,54,102,22,18,4
Flower Deafness,2014,Vancouver Island,North Vancouver Island,194,224,418,48,54,102,19,18,14
Flower Deafness,2014,Northern,Northwest,194,224,418,29,28,57,7,5,5
Flower Deafness,2014,Northern,Northern Interior,194,224,418,29,28,57,11,4,3
Flower Deafness,2014,Northern,Northeast,194,224,418,29,28,57,11,19,7
Flower Deafness,2015,Interior,East Kootenay,174,218,392,30,46,76,14,22,19
Flower Deafness,2015,Interior,Kootenay Boundary,174,218,392,30,46,76,4,10,3
Flower Deafness,2015,Interior,Okanagan,174,218,392,30,46,76,5,6,16
Flower Deafness,2015,Interior,Thompson Cariboo Shuswap,174,218,392,30,46,76,7,8,17
Flower Deafness,2015,Fraser,Fraser East,174,218,392,24,60,84,3,17,21
Flower Deafness,2015,Fraser,Fraser North,174,218,392,24,60,84,17,20,19
Flower Deafness,2015,Fraser,Fraser South,174,218,392,24,60,84,4,23,18
Flower Deafness,2015,Vancouver Coastal,Richmond,174,218,392,20,23,43,8,4,16
Flower Deafness,2015,Vancouver Coastal,Vancouver,174,218,392,20,23,43,8,5,23
Flower Deafness,2015,Vancouver Coastal,North Shore/Coast Garibaldi,174,218,392,20,23,43,4,14,14
Flower Deafness,2015,Vancouver Island,South Vancouver Island,174,218,392,52,46,98,21,13,12
Flower Deafness,2015,Vancouver Island,Central Vancouver Island,174,218,392,52,46,98,14,14,16
Flower Deafness,2015,Vancouver Island,North Vancouver Island,174,218,392,52,46,98,17,19,9
Flower Deafness,2015,Northern,Northwest,174,218,392,48,43,91,18,8,23
Flower Deafness,2015,Northern,Northern Interior,174,218,392,48,43,91,19,12,11
Flower Deafness,2015,Northern,Northeast,174,218,392,48,43,91,11,23,9
Flower Deafness,2016,Interior,East Kootenay,222,237,459,63,67,130,18,17,21
Flower Deafness,2016,Interior,Kootenay Boundary,222,237,459,63,67,130,15,20,19
Flower Deafness,2016,Interior,Okanagan,222,237,459,63,67,130,10,19,9
Flower Deafness,2016,Interior,Thompson Cariboo Shuswap,222,237,459,63,67,130,20,11,21
Flower Deafness,2016,Fraser,Fraser East,222,237,459,33,37,70,10,22,19
Flower Deafness,2016,Fraser,Fraser North,222,237,459,33,37,70,20,4,20
Flower Deafness,2016,Fraser,Fraser South,222,237,459,33,37,70,3,11,15
Flower Deafness,2016,Vancouver Coastal,Richmond,222,237,459,33,38,71,8,3,11
Flower Deafness,2016,Vancouver Coastal,Vancouver,222,237,459,33,38,71,17,13,8
Flower Deafness,2016,Vancouver Coastal,North Shore/Coast Garibaldi,222,237,459,33,38,71,8,22,16
Flower Deafness,2016,Vancouver Island,South Vancouver Island,222,237,459,48,47,95,23,22,20
Flower Deafness,2016,Vancouver Island,Central Vancouver Island,222,237,459,48,47,95,5,10,7
Flower Deafness,2016,Vancouver Island,North Vancouver Island,222,237,459,48,47,95,20,15,4
Flower Deafness,2016,Northern,Northwest,222,237,459,45,48,93,18,11,18
Flower Deafness,2016,Northern,Northern Interior,222,237,459,45,48,93,7,21,3
Flower Deafness,2016,Northern,Northeast,222,237,459,45,48,93,20,16,15
